NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
ACRELANDIA;AC;ACRELANDIA;AC;17;2;1;C;2;A;A;;;;;;;
RIO BRANCO;AC;;;21;1;;B;4;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;34;2;2;B;2;B;E;17;4;5;5;5;5;
XAPURI;AC;;;18;3;;C;4;A;A;;;;;;;
MANCIO LIMA;AC;;;19;1;;C;6;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;25;1;;E;3;B;A;;;;;;;
RIO BRANCO;AC;;;21;1;;C;8;A;A;19;4;0;4;4;4;
RIO BRANCO;AC;;;24;1;;K;3;A;A;19;5;0;5;0;0;
XAPURI;AC;;;32;1;;B;5;A;A;18;4;5;5;5;5;
RIO BRANCO;AC;;;22;1;;C;3;A;A;16;5;5;5;5;5;
SENADOR GUIOMARD;AC;;;18;1;;F;4;A;A;17;5;0;2;2;5;
RIO BRANCO;AC;;;22;1;;B;3;A;A;23;1;5;5;5;5;
MANCIO LIMA;AC;;;28;1;;C;3;A;A;21;5;5;5;5;5;
RIO BRANCO;AC;;;19;1;;K;5;A;A;;;;;;;
SENADOR GUIOMARD;AC;;;25;1;;B;4;A;D;20;5;5;5;2;5;
RIO BRANCO;AC;;;32;1;;C;3;A;A;17;0;5;0;5;5;
CRUZEIRO DO SUL;AC;;;23;1;;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;24;1;;C;2;A;A;19;5;4;5;4;4;
RIO BRANCO;AC;;;19;1;;B;5;A;A;18;5;5;5;5;5;
RIO BRANCO;AC;;;16;3;;C;3;A;A;;;;;;;
SENA MADUREIRA;AC;SENA MADUREIRA;AC;17;2;1;H;8;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;18;2;2;B;4;A;A;17;5;5;5;5;5;
RIO BRANCO;AC;;;17;3;;C;5;A;A;;;;;;;
RIO BRANCO;AC;;;23;1;;B;2;B;B;21;2;5;5;5;2;
CAPIXABA;AC;;;25;1;;B;3;A;A;22;5;5;4;5;5;
RIO BRANCO;AC;RIO BRANCO;AC;36;2;1;D;3;D;E;14;0;5;0;3;0;
SENA MADUREIRA;AC;;;24;1;;C;5;A;A;19;5;0;5;5;5;
CRUZEIRO DO SUL;AC;;;16;3;;G;4;A;A;;;;;;;
RIO BRANCO;AC;;;47;1;;C;8;E;A;15;4;5;4;4;3;
CAPIXABA;AC;;;15;3;;C;5;A;A;;;;;;;
RIO BRANCO;AC;;;22;1;;B;4;A;A;19;5;5;5;5;5;
RIO BRANCO;AC;;;20;1;;D;5;B;A;17;3;5;5;5;5;
RIO BRANCO;AC;;;41;1;;C;3;E;A;14;4;5;5;5;5;
CRUZEIRO DO SUL;AC;;;16;3;;B;8;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;18;2;1;B;4;A;A;15;5;4;5;5;5;
ASSIS BRASIL;AC;ASSIS BRASIL;AC;26;2;1;B;3;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;35;1;;B;4;A;A;20;5;5;5;5;5;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;1;B;4;A;A;14;5;5;5;5;5;
CRUZEIRO DO SUL;AC;;;17;3;;B;5;A;A;;;;;;;
SENA MADUREIRA;AC;;;38;1;;B;3;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;18;2;1;D;4;A;A;;;;;;;
RIO BRANCO;AC;;;27;1;;C;3;B;A;19;0;5;5;5;5;
BRASILEIA;AC;;;21;1;;C;2;A;A;19;1;4;2;5;3;
MARECHAL THAUMATURGO;AC;;;24;1;;B;6;A;A;;;;;;;
RIO BRANCO;AC;;;20;1;;B;6;A;A;;;;;;;
FEIJO;AC;;;17;3;;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;29;1;;E;1;A;A;17;5;5;5;5;5;
RIO BRANCO;AC;;;19;1;;B;2;A;A;18;1;4;5;2;4;
RIO BRANCO;AC;;;26;1;;B;2;C;B;14;5;5;5;5;4;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;1;B;3;A;A;15;4;0;5;5;5;
RIO BRANCO;AC;;;30;1;;B;6;A;A;25;5;5;5;5;5;
RIO BRANCO;AC;;;42;1;;E;4;A;A;25;5;5;5;5;5;
RIO BRANCO;AC;;;49;1;;F;3;E;E;18;1;5;5;5;5;
RIO BRANCO;AC;;;24;1;;C;2;A;A;18;3;0;5;5;5;
EPITACIOLANDIA;AC;EPITACIOLANDIA;AC;17;2;1;D;7;A;A;;;;;;;
BRASILEIA;AC;;;19;3;;B;5;B;A;;;;;;;
RIO BRANCO;AC;;;23;4;;C;7;A;A;16;5;3;5;5;5;
RIO BRANCO;AC;;;19;1;;B;3;A;A;;;;;;;
TARAUACA;AC;TARAUACA;AC;18;2;1;D;4;A;A;16;5;2;5;5;3;
RIO BRANCO;AC;;;28;1;;C;3;A;A;23;3;5;5;5;5;
RIO BRANCO;AC;;;18;1;;A;3;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;2;I;4;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;1;B;5;A;A;;;;;;;
