NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
SANTANA;AP;;;18;1;;H;7;A;A;;;;;;;
MACAPA;AP;;;22;1;;G;3;A;A;;;;;;;
OIAPOQUE;AP;;;34;1;;C;3;A;A;16;0;5;5;5;5;
MACAPA;AP;;;20;1;;B;4;A;A;14;5;0;5;5;5;
TARTARUGALZINHO;AP;;;19;1;;B;7;A;A;18;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;16;2;2;M;4;A;A;15;3;3;5;5;4;
MACAPA;AP;;;27;1;;C;5;A;A;19;5;3;5;5;5;
PEDRA BRANCA DO AMAPARI;AP;;;17;3;;G;8;A;A;;;;;;;
SANTANA;AP;;;17;3;;B;11;A;A;13;5;3;4;4;4;
MACAPA;AP;MACAPA;AP;18;2;1;B;9;A;A;;;;;;;
MACAPA;AP;;;29;1;;B;4;A;A;16;5;5;5;5;5;
SANTANA;AP;SANTANA;AP;17;2;1;C;8;A;A;;;;;;;
MACAPA;AP;;;29;1;;B;10;A;A;;;;;;;
MACAPA;AP;;;38;1;;B;12;C;D;25;5;5;5;5;5;
MACAPA;AP;;;23;1;;C;6;B;A;20;5;3;5;5;5;
MACAPA;AP;MACAPA;AP;17;2;1;B;5;A;A;;;;;;;
SANTANA;AP;;;15;3;;B;6;A;A;;;;;;;
OIAPOQUE;AP;OIAPOQUE;AP;20;2;1;B;3;A;B;17;5;5;5;5;5;
MACAPA;AP;;;20;1;;B;6;A;A;18;5;0;5;5;5;
MACAPA;AP;;;22;1;;B;4;A;A;19;5;0;5;5;5;
MACAPA;AP;MACAPA;AP;21;2;1;H;6;A;A;;;;;;;
MACAPA;AP;;;21;1;;J;6;D;C;13;5;0;5;3;0;
SANTANA;AP;SANTANA;AP;17;2;1;B;4;A;A;;;;;;;
MACAPA;AP;;;47;4;;C;5;E;E;13;0;5;5;5;5;
SANTANA;AP;;;44;1;;G;4;A;A;25;0;5;5;5;1;
MACAPA;AP;;;19;1;;G;3;A;A;18;5;0;5;5;5;
SANTANA;AP;MACAPA;AP;17;2;2;K;3;A;A;;;;;;;
MACAPA;AP;;;31;1;;B;2;A;A;18;5;5;5;5;5;
MAZAGAO;AP;;;22;1;;G;14;A;A;17;4;4;1;2;3;
MACAPA;AP;;;30;1;;B;3;A;E;;;;;;;
MACAPA;AP;;;21;1;;D;8;A;A;18;5;0;2;3;3;
MACAPA;AP;;;18;1;;C;4;A;A;;;;;;;
LARANJAL DO JARI;AP;;;19;3;;B;5;A;A;;;;;;;
MACAPA;AP;;;19;1;;C;6;A;A;17;5;0;5;5;5;
PORTO GRANDE;AP;;;45;1;;B;5;A;A;25;5;5;5;5;5;
MACAPA;AP;;;20;1;;E;3;A;A;18;4;0;5;4;3;
