NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;3;A;A;16;4;0;5;5;3;
BOA VISTA;RR;;;18;1;;G;4;A;A;;;;;;;
BOA VISTA;RR;;;18;1;;B;7;A;A;;;;;;;
BOA VISTA;RR;;;18;1;;C;4;A;A;;;;;;;
BOA VISTA;RR;;;19;1;;B;3;A;A;;;;;;;
CANTA;RR;;;37;1;;A;4;C;A;18;5;5;5;5;5;
BOA VISTA;RR;;;21;1;;B;7;A;A;18;5;5;5;5;5;
BOA VISTA;RR;;;18;1;;B;5;A;A;;;;;;;
BOA VISTA;RR;;;23;1;;C;6;A;A;16;3;5;5;5;3;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;K;4;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;2;A;A;;;;;;;
BOA VISTA;RR;;;16;3;;B;4;A;A;;;;;;;
BOA VISTA;RR;;;18;1;;B;5;A;A;17;3;0;4;5;5;
BOA VISTA;RR;;;23;1;;D;3;A;A;18;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;4;A;A;;;;;;;
SAO LUIZ;RR;;;21;1;;B;3;A;A;;;;;;;
BOA VISTA;RR;;;21;1;;D;5;A;A;17;5;0;5;4;5;
BOA VISTA;RR;;;16;3;;B;6;A;A;;;;;;;
BONFIM;RR;BONFIM;RR;17;2;1;B;6;A;A;;;;;;;
BOA VISTA;RR;;;29;1;;C;4;A;A;21;5;5;5;5;5;
BOA VISTA;RR;;;27;1;;B;8;A;A;20;5;2;5;5;3;
BOA VISTA;RR;;;40;1;;B;4;C;A;15;5;5;5;5;5;
MUCAJAI;RR;;;17;3;;B;4;A;A;;;;;;;
BOA VISTA;RR;;;29;1;;B;2;A;A;17;3;4;4;4;4;
BOA VISTA;RR;;;22;1;;F;5;A;A;19;5;4;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;17;2;1;B;3;A;A;15;5;5;5;5;5;
CARACARAI;RR;CARACARAI;RR;17;2;1;I;5;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;L;3;A;A;17;0;0;5;3;0;
BOA VISTA;RR;;;30;1;;D;4;A;A;18;5;5;5;5;5;
BOA VISTA;RR;;;26;1;;B;3;A;A;17;5;0;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;17;2;1;B;5;A;A;16;5;5;5;3;3;
BOA VISTA;RR;;;28;1;;A;2;A;A;15;3;4;5;5;5;
BOA VISTA;RR;;;34;1;;B;3;A;A;13;5;0;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;20;2;1;C;7;A;B;;;;;;;
BOA VISTA;RR;;;28;1;;B;3;A;A;16;2;5;4;5;5;
BOA VISTA;RR;;;34;1;;K;3;A;A;20;3;1;5;5;5;
BOA VISTA;RR;;;24;1;;B;4;A;A;14;5;5;5;5;2;
BOA VISTA;RR;;;27;1;;F;5;A;A;21;1;1;5;5;5;
ALTO ALEGRE;RR;;;24;1;;D;3;A;A;16;5;0;5;5;5;
BOA VISTA;RR;;;40;1;;D;7;A;A;20;4;5;5;4;5;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;Q;5;A;A;;;;;;;
BOA VISTA;RR;;;15;3;;H;4;A;A;;;;;;;
BOA VISTA;RR;;;19;1;;L;4;A;A;;;;;;;
BOA VISTA;RR;;;23;1;;B;6;A;A;22;5;5;5;5;5;
BOA VISTA;RR;;;25;1;;B;2;A;A;16;0;5;5;2;5;
BOA VISTA;RR;;;25;1;;B;4;B;B;14;5;5;5;5;5;
BOA VISTA;RR;;;19;3;;F;4;A;A;17;5;5;5;5;5;
BOA VISTA;RR;;;23;1;;D;2;A;A;19;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;4;A;A;13;5;0;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;17;2;1;G;6;A;A;;;;;;;
