NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
PORTO VELHO;RO;;;18;3;;D;5;A;A;17;0;0;5;5;5;
ROLIM DE MOURA;RO;;;22;1;;D;3;A;A;;;;;;;
JI-PARANA;RO;;;30;1;;E;4;A;A;15;5;5;4;5;4;
PORTO VELHO;RO;;;19;4;;B;7;A;E;;;;;;;
VILHENA;RO;;;25;1;;G;4;A;B;;;;;;;
VILHENA;RO;;;16;3;;I;3;A;A;;;;;;;
PORTO VELHO;RO;;;24;1;;F;2;A;A;18;0;5;5;5;5;
JI-PARANA;RO;;;26;1;;E;4;A;A;16;5;2;5;5;2;
PORTO VELHO;RO;;;22;1;;C;4;A;A;;;;;;;
PORTO VELHO;RO;;;22;1;;B;4;A;A;;;;;;;
COSTA MARQUES;RO;COSTA MARQUES;RO;23;2;1;C;1;A;D;16;5;5;5;5;5;
CACOAL;RO;;;39;4;;C;3;A;E;13;0;5;5;3;1;
OURO PRETO DO OESTE;RO;TEIXEIROPOLIS;RO;17;2;1;I;4;A;A;;;;;;;
TEIXEIROPOLIS;RO;TEIXEIROPOLIS;RO;17;2;1;C;5;A;A;;;;;;;
PORTO VELHO;RO;;;17;3;;C;4;A;A;15;3;0;5;5;0;
MINISTRO ANDREAZZA;RO;;;22;1;;H;4;A;A;17;5;2;5;5;2;
JI-PARANA;RO;JI-PARANA;RO;22;2;1;C;6;A;A;18;5;0;5;5;5;
PORTO VELHO;RO;;;20;4;;D;6;C;C;18;4;5;5;5;5;
PORTO VELHO;RO;;;20;1;;C;3;A;A;17;5;5;5;5;5;
ALVORADA D OESTE;RO;;;20;1;;B;6;A;A;17;5;5;5;5;5;
ALTA FLORESTA D OESTE;RO;;;21;1;;G;4;A;A;;;;;;;
CACOAL;RO;;;30;3;;B;4;E;C;25;0;5;5;5;5;
CACOAL;RO;;;20;1;;C;2;A;A;16;5;4;3;5;3;
PORTO VELHO;RO;;;43;1;;H;4;A;B;18;5;5;5;5;5;
PORTO VELHO;RO;PORTO VELHO;RO;23;4;;E;4;A;A;14;5;5;5;5;5;
PORTO VELHO;RO;;;21;1;;C;3;A;A;18;5;5;5;5;5;
NOVA MAMORE;RO;NOVA MAMORE;RO;19;2;1;C;4;A;B;16;3;0;5;5;5;
ROLIM DE MOURA;RO;;;19;1;;D;3;A;A;18;5;0;5;5;5;
BURITIS;RO;;;17;3;;B;3;A;A;;;;;;;
PORTO VELHO;RO;PORTO VELHO;RO;17;2;1;E;7;A;A;;;;;;;
TEIXEIROPOLIS;RO;;;26;1;;B;1;A;D;17;5;5;5;5;5;
ARIQUEMES;RO;;;17;3;;D;7;A;A;;;;;;;
OURO PRETO DO OESTE;RO;OURO PRETO DO OESTE;RO;27;2;1;B;3;E;E;13;0;5;5;5;5;
PIMENTA BUENO;RO;;;23;1;;B;1;A;A;20;5;0;5;5;0;
PORTO VELHO;RO;;;21;1;;B;7;A;A;;;;;;;
OURO PRETO DO OESTE;RO;OURO PRETO DO OESTE;RO;30;2;1;C;4;E;A;24;0;5;4;5;5;
OURO PRETO DO OESTE;RO;OURO PRETO DO OESTE;RO;26;2;1;B;3;B;A;16;5;5;5;5;5;
