NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
GURUPI;TO;GURUPI;TO;18;2;1;B;4;A;A;16;5;0;5;5;5;
PALMAS;TO;;;18;3;;F;5;A;A;;;;;;;
NAZARE;TO;;;26;1;;A;3;A;A;;;;;;;
ARAGUAINA;TO;;;19;1;;B;4;A;A;18;5;3;5;5;5;
ARAGUATINS;TO;;;18;1;;B;4;A;A;;;;;;;
ARAGUAINA;TO;;;24;1;;B;2;A;A;18;4;3;4;5;3;
PALMAS;TO;;;22;1;;B;4;B;A;15;5;5;4;4;5;
PALMAS;TO;PALMAS;TO;18;2;1;B;2;A;A;;;;;;;
COUTO MAGALHAES;TO;COLINAS DO TOCANTINS;TO;17;2;1;K;4;A;A;;;;;;;
SAO SEBASTIAO DO TOCANTINS;TO;;;21;1;;B;4;A;A;17;4;0;5;5;5;
ARAGUAINA;TO;;;23;1;;B;7;A;A;14;3;3;5;5;5;
ARAGUAINA;TO;;;20;1;;O;3;A;A;;;;;;;
PALMAS;TO;;;44;1;;H;5;C;A;21;5;5;5;5;5;
ARAGUAINA;TO;;;22;1;;B;2;A;A;15;5;5;5;5;5;
SAMPAIO;TO;SAMPAIO;TO;18;2;1;B;5;A;A;;;;;;;
ARAGUAINA;TO;;;18;1;;B;6;A;A;16;5;0;3;4;4;
ARAGUAINA;TO;;;26;1;;B;5;A;A;;;;;;;
PALMAS;TO;;;41;1;;C;5;A;A;16;3;5;3;3;2;
CRISTALANDIA;TO;;;21;1;;B;3;A;A;16;5;5;5;3;5;
XAMBIOA;TO;;;21;1;;E;5;A;B;19;5;2;5;5;4;
PALMAS;TO;;;17;3;;B;6;A;A;13;5;0;5;5;5;
ARAGUAINA;TO;;;20;1;;I;5;A;A;15;5;0;5;5;0;
PARAISO DO TOCANTINS;TO;;;41;1;;G;2;A;A;19;0;5;5;5;4;
ARAGUAINA;TO;;;19;3;;B;4;A;A;18;5;5;5;5;5;
PEDRO AFONSO;TO;PEDRO AFONSO;TO;18;2;1;C;7;A;A;17;3;0;4;3;1;
LAGOA DA CONFUSAO;TO;LAGOA DA CONFUSAO;TO;34;2;1;B;5;E;A;14;5;5;5;5;5;
PORTO NACIONAL;TO;PORTO NACIONAL;TO;18;2;1;B;6;A;A;15;5;0;5;5;5;
ITAPIRATINS;TO;;;16;3;;A;5;A;A;;;;;;;
ARAGUAINA;TO;;;19;1;;C;3;A;A;14;5;5;5;5;5;
MONTE DO CARMO;TO;;;25;1;;E;4;A;D;16;0;5;5;5;5;
PARAISO DO TOCANTINS;TO;;;44;1;;C;3;A;A;25;0;5;5;5;1;
PORTO NACIONAL;TO;;;18;1;;D;4;A;A;15;4;2;5;4;4;
ALVORADA;TO;ALVORADA;TO;17;2;1;B;5;A;A;;;;;;;
PALMAS;TO;PALMAS;TO;17;2;1;B;6;A;A;;;;;;;
PALMEIROPOLIS;TO;;;20;1;;B;3;A;A;14;5;0;5;4;2;
GUARAI;TO;;;14;3;;G;3;A;A;;;;;;;
ARAGUAINA;TO;;;37;4;;G;4;E;E;16;0;5;5;0;3;
PARAISO DO TOCANTINS;TO;PARAISO DO TOCANTINS;TO;18;2;1;B;3;A;A;13;5;5;5;5;5;
ARAGUAINA;TO;ARAGUAINA;TO;20;2;1;B;6;C;C;17;4;0;5;5;0;
ARAGUAINA;TO;;;24;1;;B;3;A;A;15;2;1;5;2;5;
ARAGUAINA;TO;;;21;1;;D;5;A;A;17;5;1;4;5;5;
FORMOSO DO ARAGUAIA;TO;FORMOSO DO ARAGUAIA;TO;17;2;1;E;4;A;A;;;;;;;
TOCANTINOPOLIS;TO;;;21;1;;D;5;A;C;;;;;;;
PALMAS;TO;;;26;1;;B;1;A;A;18;0;0;5;5;5;
FILADELFIA;TO;FILADELFIA;TO;17;2;1;B;3;A;A;16;5;4;5;5;5;
PARAISO DO TOCANTINS;TO;PALMAS;TO;18;2;1;C;4;A;A;17;1;0;5;5;4;
IPUEIRAS;TO;;;22;3;;B;5;B;A;20;1;5;5;5;2;
PORTO NACIONAL;TO;;;18;1;;C;5;A;A;;;;;;;
PALMAS;TO;;;17;3;;D;3;A;A;14;5;0;5;5;3;
ARAGUAINA;TO;;;30;1;;C;5;A;E;17;5;5;5;5;5;
ANANAS;TO;;;21;1;;B;5;A;A;15;5;3;5;5;5;
PARAISO DO TOCANTINS;TO;PARAISO DO TOCANTINS;TO;19;2;1;C;6;A;A;21;4;4;4;4;4;
SAO SEBASTIAO DO TOCANTINS;TO;;;23;1;;B;3;A;A;;;;;;;
GURUPI;TO;;;15;3;;C;4;A;A;;;;;;;
ARAGUAINA;TO;;;35;1;;F;4;A;A;18;0;4;5;0;0;
GURUPI;TO;GURUPI;TO;17;2;1;E;4;A;A;16;2;2;5;5;2;
ARAGUAINA;TO;;;20;1;;C;5;A;A;18;5;3;5;5;5;
PALMAS;TO;;;20;1;;F;5;A;A;17;2;0;5;5;5;
PALMAS;TO;;;20;1;;C;8;B;A;18;1;1;5;5;5;
PALMEIROPOLIS;TO;;;29;1;;D;3;A;A;23;1;5;0;0;5;
PALMAS;TO;;;20;1;;C;3;A;A;18;5;1;4;5;3;
